117: Date: 14th Jul, Values={'ma10': 1257.1, 'ma20': 1175.25, 'ma50': 1334.08, 'ma200': 878.575}
118: Date: 11th Jul, Values={'ma10': 1303.9, 'ma20': 1187.3, 'ma50': 1335.24, 'ma200': 877.29}
119: Date: 10th Jul, Values={'ma10': 1346.4, 'ma20': 1197.05, 'ma50': 1331.58, 'ma200': 877.005}
120: Date: 9th Jul, Values={'ma10': 1360.3, 'ma20': 1207.8, 'ma50': 1324.76, 'ma200': 876.505}
121: Date: 8th Jul, Values={'ma10': 1370.9, 'ma20': 1228.1, 'ma50': 1324.6, 'ma200': 876.365}
122: Date: 7th Jul, Values={'ma10': 1353.7, 'ma20': 1249.75, 'ma50': 1326.0, 'ma200': 877.31}
123: Date: 4th Jul, Values={'ma10': 1309.4, 'ma20': 1267.85, 'ma50': 1326.64, 'ma200': 878.225}
124: Date: 3rd Jul, Values={'ma10': 1254.1, 'ma20': 1273.9, 'ma50': 1334.34, 'ma200': 878.68}
125: Date: 2nd Jul, Values={'ma10': 1176.9, 'ma20': 1278.55, 'ma50': 1342.78, 'ma200': 878.89}
126: Date: 1st Jul, Values={'ma10': 1135.9, 'ma20': 1280.0, 'ma50': 1351.58, 'ma200': 878.775}
127: Date: 30th Jun, Values={'ma10': 1093.4, 'ma20': 1274.05, 'ma50': 1358.2, 'ma200': 877.68}
128: Date: 27th Jun, Values={'ma10': 1070.7, 'ma20': 1271.7, 'ma50': 1361.64, 'ma200': 876.45}
129: Date: 26th Jun, Values={'ma10': 1047.7, 'ma20': 1273.05, 'ma50': 1366.02, 'ma200': 875.41}
130: Date: 25th Jun, Values={'ma10': 1055.3, 'ma20': 1281.15, 'ma50': 1369.1, 'ma200': 873.73}
131: Date: 24th Jun, Values={'ma10': 1085.3, 'ma20': 1291.45, 'ma50': 1360.4, 'ma200': 872.035}
132: Date: 23rd Jun, Values={'ma10': 1145.8, 'ma20': 1319.35, 'ma50': 1349.68, 'ma200': 871.36}
133: Date: 20th Jun, Values={'ma10': 1226.3, 'ma20': 1360.05, 'ma50': 1344.36, 'ma200': 871.95}
134: Date: 19th Jun, Values={'ma10': 1293.7, 'ma20': 1401.1, 'ma50': 1333.7, 'ma200': 873.055}
135: Date: 18th Jun, Values={'ma10': 1380.2, 'ma20': 1452.75, 'ma50': 1337.92, 'ma200': 874.45}
136: Date: 17th Jun, Values={'ma10': 1424.1, 'ma20': 1490.5, 'ma50': 1347.66, 'ma200': 873.44}
137: Date: 16th Jun, Values={'ma10': 1454.7, 'ma20': 1522.65, 'ma50': 1352.46, 'ma200': 870.935}
138: Date: 13th Jun, Values={'ma10': 1472.7, 'ma20': 1549.35, 'ma50': 1348.6, 'ma200': 867.32}
139: Date: 12th Jun, Values={'ma10': 1498.4, 'ma20': 1578.4, 'ma50': 1342.68, 'ma200': 864.515}
140: Date: 11th Jun, Values={'ma10': 1507.0, 'ma20': 1593.25, 'ma50': 1333.8, 'ma200': 862.075}
141: Date: 10th Jun, Values={'ma10': 1497.6, 'ma20': 1596.2, 'ma50': 1319.8, 'ma200': 858.37}
142: Date: 9th Jun, Values={'ma10': 1492.9, 'ma20': 1593.6, 'ma50': 1310.36, 'ma200': 855.25}
143: Date: 6th Jun, Values={'ma10': 1493.8, 'ma20': 1584.85, 'ma50': 1307.48, 'ma200': 852.125}
144: Date: 5th Jun, Values={'ma10': 1508.5, 'ma20': 1536.35, 'ma50': 1305.48, 'ma200': 849.38}
145: Date: 4th Jun, Values={'ma10': 1525.3, 'ma20': 1495.1, 'ma50': 1299.44, 'ma200': 846.0}
146: Date: 3rd Jun, Values={'ma10': 1556.9, 'ma20': 1465.35, 'ma50': 1293.16, 'ma200': 841.845}
147: Date: 2nd Jun, Values={'ma10': 1590.6, 'ma20': 1432.6, 'ma50': 1281.0, 'ma200': 838.205}
148: Date: 30th May, Values={'ma10': 1626.0, 'ma20': 1414.45, 'ma50': 1260.48, 'ma200': 833.53}
149: Date: 29th May, Values={'ma10': 1658.4, 'ma20': 1382.7, 'ma50': 1238.56, 'ma200': 828.48}
150: Date: 28th May, Values={'ma10': 1679.5, 'ma20': 1350.6, 'ma50': 1215.8, 'ma200': 822.725}
151: Date: 27th May, Values={'ma10': 1694.8, 'ma20': 1334.6, 'ma50': 1192.82, 'ma200': 817.13}
152: Date: 26th May, Values={'ma10': 1694.3, 'ma20': 1318.8, 'ma50': 1169.74, 'ma200': 811.4}
153: Date: 23rd May, Values={'ma10': 1675.9, 'ma20': 1301.85, 'ma50': 1151.44, 'ma200': 806.06}
154: Date: 22nd May, Values={'ma10': 1564.2, 'ma20': 1307.7, 'ma50': 1130.02, 'ma200': 800.71}
155: Date: 21st May, Values={'ma10': 1464.9, 'ma20': 1315.75, 'ma50': 1104.96, 'ma200': 794.815}
156: Date: 20th May, Values={'ma10': 1373.8, 'ma20': 1320.5, 'ma50': 1074.84, 'ma200': 789.265}
157: Date: 19th May, Values={'ma10': 1274.6, 'ma20': 1326.15, 'ma50': 1044.1, 'ma200': 784.345}
158: Date: 16th May, Values={'ma10': 1202.9, 'ma20': 1319.4, 'ma50': 1010.68, 'ma200': 778.475}
159: Date: 15th May, Values={'ma10': 1107.0, 'ma20': 1312.8, 'ma50': 979.22, 'ma200': 772.07}
160: Date: 14th May, Values={'ma10': 1021.7, 'ma20': 1301.85, 'ma50': 949.68, 'ma200': 766.59}
161: Date: 13th May, Values={'ma10': 974.4, 'ma20': 1262.15, 'ma50': 920.38, 'ma200': 762.845}
162: Date: 12th May, Values={'ma10': 943.3, 'ma20': 1207.7, 'ma50': 894.46, 'ma200': 760.275}
163: Date: 9th May, Values={'ma10': 927.8, 'ma20': 1162.9, 'ma50': 871.72, 'ma200': 758.2}
164: Date: 8th May, Values={'ma10': 1051.2, 'ma20': 1151.05, 'ma50': 865.8, 'ma200': 761.245}
165: Date: 7th May, Values={'ma10': 1166.6, 'ma20': 1159.6, 'ma50': 855.98, 'ma200': 763.92}
