Date,Up 4-5%+ today,Down 4-5%+ today,Up 20%+ in 5d,Down 20%+ in 5d,Above 20dma,Below 20dma,Above 50dma,Below 50dma,Above 200dma,Below 200dma
8th Aug 2024,102,48,17,4,738,1199,1076,862,1512,426
7th Aug 2024,316,10,12,4,760,1177,1133,805,1522,416
6th Aug 2024,62,110,7,5,483,1453,866,1071,1439,498
5th Aug 2024,26,802,16,5,486,1452,927,1012,1464,475
2nd Aug 2024,86,32,24,1,1127,809,1408,529,1636,301
1st Aug 2024,80,60,41,0,1289,647,1501,436,1645,292
31st Jul 2024,119,29,47,0,1467,467,1585,350,1660,275
30th Jul 2024,151,13,58,0,1472,461,1567,367,1661,273
29th Jul 2024,158,23,51,0,1425,511,1547,390,1648,289
26th Jul 2024,166,14,40,0,1328,604,1491,442,1618,315
25th Jul 2024,143,25,31,0,1119,812,1347,585,1580,352
24th Jul 2024,283,7,22,1,1110,821,1362,571,1572,361
23rd Jul 2024,91,46,10,3,759,1172,1186,746,1517,415
22nd Jul 2024,117,34,18,3,846,1088,1262,673,1527,408
19th Jul 2024,27,220,16,5,724,1207,1211,721,1517,415
18th Jul 2024,74,82,29,2,1142,789,1458,474,1605,327
16th Jul 2024,106,24,25,0,1334,596,1548,383,1633,298
15th Jul 2024,119,26,30,0,1335,598,1535,398,1631,302
12th Jul 2024,90,40,22,0,1308,622,1518,412,1623,307
11th Jul 2024,139,8,30,0,1393,536,1542,387,1627,302
10th Jul 2024,53,52,29,0,1327,600,1510,417,1599,328
9th Jul 2024,118,24,33,0,1496,431,1571,356,1637,290
8th Jul 2024,121,35,35,0,1471,458,1567,362,1631,298
5th Jul 2024,142,5,58,0,1559,367,1606,320,1644,281
4th Jul 2024,136,16,48,0,1543,383,1585,341,1626,300
3rd Jul 2024,149,11,28,1,1539,386,1565,360,1623,302
2nd Jul 2024,129,22,34,1,1452,473,1532,393,1605,320
1st Jul 2024,234,12,40,0,1446,480,1537,389,1591,335
28th Jun 2024,97,18,31,0,1312,613,1442,483,1550,375
27th Jun 2024,59,66,26,1,1277,648,1392,533,1543,382
26th Jun 2024,108,24,39,1,1427,495,1506,417,1577,346
25th Jun 2024,85,30,40,0,1498,425,1520,403,1571,352
24th Jun 2024,153,22,40,0,1521,403,1540,384,1583,341
21st Jun 2024,98,43,35,0,1591,329,1554,366,1583,337
20th Jun 2024,173,10,58,0,1621,301,1572,349,1582,340
19th Jun 2024,115,25,54,0,1543,378,1510,412,1537,385
18th Jun 2024,181,19,69,0,1621,302,1534,389,1549,374
14th Jun 2024,137,9,62,0,1646,275,1542,379,1548,373
13th Jun 2024,160,8,80,0,1632,289,1509,412,1523,398
12th Jun 2024,143,10,111,0,1603,318,1446,474,1481,440
11th Jun 2024,180,11,160,0,1519,402,1357,564,1459,462
10th Jun 2024,194,12,26,1,1436,486,1254,668,1415,507
7th Jun 2024,259,4,21,0,1273,647,1120,800,1359,561
6th Jun 2024,431,2,11,1,891,1029,909,1011,1264,655
5th Jun 2024,547,45,7,4,494,1426,659,1261,1118,801
4th Jun 2024,11,1232,7,13,267,1651,476,1443,968,951
3rd Jun 2024,243,19,11,2,836,1083,914,1006,1270,650
31st May 2024,85,46,8,2,639,1275,787,1128,1221,694
30th May 2024,36,90,8,4,603,1310,789,1125,1222,692
29th May 2024,70,40,11,0,770,1142,917,997,1280,634
28th May 2024,39,80,5,0,821,1091,926,987,1308,605
27th May 2024,77,78,14,2,934,983,1029,889,1347,571
24th May 2024,63,61,16,0,1020,893,1097,817,1376,538
23rd May 2024,71,32,27,0,1119,793,1130,783,1403,510
22nd May 2024,95,36,28,1,1113,799,1162,751,1383,530
21st May 2024,103,81,28,0,1142,774,1152,765,1391,526
18th May 2024,78,7,34,0,1312,593,1226,680,1420,486
17th May 2024,124,11,27,0,1167,744,1158,754,1397,515
16th May 2024,88,18,19,1,1045,867,1047,866,1377,536
15th May 2024,129,20,11,1,943,967,1008,903,1362,549
14th May 2024,204,14,13,1,811,1100,956,955,1334,577
13th May 2024,86,41,12,4,575,1338,795,1118,1273,640
10th May 2024,90,20,6,2,557,1352,800,1109,1279,630
9th May 2024,14,228,7,1,435,1474,716,1193,1247,662
8th May 2024,77,28,10,4,785,1125,1004,906,1360,550
7th May 2024,38,113,11,0,670,1239,959,950,1341,568
6th May 2024,68,96,23,2,993,921,1133,781,1421,493
3rd May 2024,67,30,20,0,1234,674,1271,638,1461,448
2nd May 2024,112,29,18,0,1351,558,1337,572,1488,421
30th Apr 2024,78,22,17,1,1449,460,1379,530,1497,412
29th Apr 2024,92,20,25,2,1484,427,1397,515,1502,410
26th Apr 2024,88,17,33,3,1484,422,1379,527,1485,421
25th Apr 2024,109,21,35,3,1473,434,1361,546,1479,428
24th Apr 2024,137,16,38,5,1464,443,1346,561,1478,429
23rd Apr 2024,159,24,47,5,1378,527,1252,653,1452,453
22nd Apr 2024,228,14,29,5,1235,674,1153,756,1419,490
19th Apr 2024,77,17,27,5,894,1010,969,936,1367,538
18th Apr 2024,100,29,16,6,940,965,970,935,1374,531
16th Apr 2024,107,17,14,3,974,929,1031,872,1369,534
15th Apr 2024,33,139,17,3,881,1026,971,936,1354,553
12th Apr 2024,57,42,28,2,1344,559,1219,685,1457,447
10th Apr 2024,84,29,33,2,1508,396,1317,587,1483,421
9th Apr 2024,78,24,40,0,1533,369,1278,624,1464,438
8th Apr 2024,104,31,61,0,1657,248,1365,540,1491,414
5th Apr 2024,138,5,144,0,1698,205,1418,485,1501,402
4th Apr 2024,159,10,102,0,1670,232,1335,567,1471,431
3rd Apr 2024,264,2,53,0,1633,268,1245,656,1430,471
2nd Apr 2024,268,8,21,0,1473,427,1078,822,1357,543
1st Apr 2024,723,4,33,1,1210,691,924,977,1296,605
28th Mar 2024,87,37,30,3,737,1162,693,1206,1138,761
27th Mar 2024,110,82,24,2,660,1239,642,1257,1133,766
26th Mar 2024,90,100,15,3,579,1323,614,1288,1129,773
22nd Mar 2024,151,18,26,2,617,1281,622,1276,1186,712
21st Mar 2024,236,14,21,3,424,1473,535,1362,1155,742
20th Mar 2024,86,34,30,1,251,1642,376,1517,1075,818
19th Mar 2024,60,51,8,6,228,1664,374,1518,1061,831
18th Mar 2024,142,25,3,9,280,1613,475,1418,1120,773
15th Mar 2024,108,53,4,21,227,1665,453,1439,1103,789
14th Mar 2024,595,22,1,17,233,1658,449,1442,1094,797
13th Mar 2024,7,1116,0,127,121,1768,318,1571,956,933
12th Mar 2024,16,429,3,20,336,1551,548,1339,1188,699
11th Mar 2024,30,369,5,12,456,1435,709,1182,1309,582
7th Mar 2024,106,18,7,7,634,1253,865,1022,1410,477
6th Mar 2024,24,211,13,9,556,1329,828,1057,1397,488
5th Mar 2024,56,91,9,4,772,1113,995,890,1459,426
4th Mar 2024,68,79,12,6,876,1011,1069,819,1484,404
2nd Mar 2024,66,16,15,4,987,888,1146,729,1511,364
1st Mar 2024,142,22,13,3,848,1037,1066,819,1488,397
29th Feb 2024,74,35,16,4,696,1185,998,883,1450,431
28th Feb 2024,33,167,15,4,643,1238,953,928,1461,420
27th Feb 2024,62,52,23,3,940,940,1140,740,1525,355
26th Feb 2024,95,36,29,2,1006,878,1198,686,1554,330
23rd Feb 2024,123,19,29,2,1089,790,1226,653,1561,318
22nd Feb 2024,95,15,34,1,1032,848,1187,693,1558,322
